driverId,forename,surname,difference,teammateId,teammateName,age,year,circuit
18,Jenson,Button,-1.3710756972111606,22,barrichello,26,2006,Turkish Grand Prix
8,Kimi,Räikkönen,-0.7177090301003418,37,rosa,27,2006,Turkish Grand Prix
9,Robert,Kubica,0.4079270833333399,2,heidfeld,22,2006,Turkish Grand Prix
17,Mark,Webber,-0.6746307692307612,3,rosberg,30,2006,Turkish Grand Prix
32,Christian,Klien,-1.0462978723404186,14,coulthard,23,2006,Turkish Grand Prix
37,Pedro,de la Rosa,0.7233529411764774,8,raikkonen,35,2006,Turkish Grand Prix
15,Jarno,Trulli,1.024360000000001,23,ralf_schumacher,32,2006,Turkish Grand Prix
22,Rubens,Barrichello,1.4156431924882684,18,button,34,2006,Turkish Grand Prix
3,Nico,Rosberg,0.9165583756345091,17,webber,21,2006,Turkish Grand Prix
27,Christijan,Albers,-0.6501707317073124,33,monteiro,27,2006,Turkish Grand Prix
14,David,Coulthard,0.6728291139240448,32,klien,35,2006,Turkish Grand Prix
26,Scott,Speed,-0.3642307692307692,24,liuzzi,23,2006,Turkish Grand Prix
24,Vitantonio,Liuzzi,0.05918666666666619,26,speed,26,2006,Turkish Grand Prix
33,Tiago,Monteiro,0.8223666666666607,27,albers,30,2006,Turkish Grand Prix
29,Sakon,Yamamoto,-0.8319444444444409,11,sato,24,2006,Turkish Grand Prix
11,Takuma,Sato,0.09278461538461066,29,yamamoto,29,2006,Turkish Grand Prix
8,Kimi,Räikkönen,-0.8187090301003409,37,rosa,27,2006,Italian Grand Prix
30,Michael,Schumacher,0.11229479768787132,13,massa,37,2006,Italian Grand Prix
2,Nick,Heidfeld,-0.5775514705882263,9,kubica,29,2006,Italian Grand Prix
13,Felipe,Massa,0.1341434426229402,30,michael_schumacher,25,2006,Italian Grand Prix
18,Jenson,Button,-0.762075697211166,22,barrichello,26,2006,Italian Grand Prix
9,Robert,Kubica,0.6309270833333246,2,heidfeld,22,2006,Italian Grand Prix
37,Pedro,de la Rosa,0.8243529411764765,8,raikkonen,35,2006,Italian Grand Prix
22,Rubens,Barrichello,0.8066431924882738,18,button,34,2006,Italian Grand Prix
15,Jarno,Trulli,-0.24263999999999492,23,ralf_schumacher,32,2006,Italian Grand Prix
3,Nico,Rosberg,-0.6214416243654733,17,webber,21,2006,Italian Grand Prix
23,Ralf,Schumacher,0.3196732673267285,15,trulli,31,2006,Italian Grand Prix
14,David,Coulthard,-0.4721708860759513,32,klien,35,2006,Italian Grand Prix
26,Scott,Speed,-0.37223076923077897,24,liuzzi,23,2006,Italian Grand Prix
32,Christian,Klien,0.0987021276595774,14,coulthard,23,2006,Italian Grand Prix
24,Vitantonio,Liuzzi,0.06718666666667597,26,speed,26,2006,Italian Grand Prix
27,Christijan,Albers,-0.574170731707319,33,monteiro,27,2006,Italian Grand Prix
17,Mark,Webber,0.8633692307692213,3,rosberg,30,2006,Italian Grand Prix
33,Tiago,Monteiro,0.7463666666666673,27,albers,30,2006,Italian Grand Prix
11,Takuma,Sato,-1.8622153846153877,29,yamamoto,29,2006,Italian Grand Prix
29,Sakon,Yamamoto,1.1230555555555575,11,sato,24,2006,Italian Grand Prix
4,Fernando,Alonso,-0.3642382550335617,21,fisichella,25,2006,Chinese Grand Prix
21,Giancarlo,Fisichella,0.7015106382978762,4,alonso,33,2006,Chinese Grand Prix
22,Rubens,Barrichello,0.030643192488263315,18,button,34,2006,Chinese Grand Prix
18,Jenson,Button,0.01392430278884447,22,barrichello,26,2006,Chinese Grand Prix
8,Kimi,Räikkönen,-0.14570903010032488,37,rosa,27,2006,Chinese Grand Prix
30,Michael,Schumacher,0.020294797687858357,13,massa,37,2006,Chinese Grand Prix
37,Pedro,de la Rosa,0.15135294117646045,8,raikkonen,35,2006,Chinese Grand Prix
2,Nick,Heidfeld,-0.5515514705882443,9,kubica,29,2006,Chinese Grand Prix
9,Robert,Kubica,0.6049270833333426,2,heidfeld,22,2006,Chinese Grand Prix
38,Robert,Doornbos,-0.36855555555555797,14,coulthard,25,2006,Chinese Grand Prix
26,Scott,Speed,-0.5932307692307683,24,liuzzi,23,2006,Chinese Grand Prix
